group,function,number,ratio
coverage,Metabolism,5123,0.487579709
coverage,Genetic Information Processing,249,0.498997996
coverage,Environmental Information Processing,568,0.471760797
coverage,Cellular Processes,301,0.380530973
coverage,Organismal Systems,122,0.239685658
coverage,Human Diseases,278,0.214010778
uncoverage,Metabolism,5384,0.512420291
uncoverage,Genetic Information Processing,250,0.501002004
uncoverage,Environmental Information Processing,636,0.528239203
uncoverage,Cellular Processes,490,0.619469027
uncoverage,Organismal Systems,387,0.760314342
uncoverage,Human Diseases,1021,0.785989222
