species,core
Blautia wexlerae,1858
Agathobacter rectalis,1512
Bariatricus comes,1674
Blautia obeum,1902
Anaerostipes hadrus,1738
Blautia massiliensis,1845
Fusicatenibacter saccharivorans,1866
Mediterraneibacter faecis,1666
Dorea formicigenerans,1673
Dorea longicatena,1787
Enterocloster clostridioformis,3019
Clostridium fessum,1847
Enterocloster bolteae,3520
Copromonas sp900066535,1806
Ruminococcus gnavus,1874
Faecalimonas umbilicata,1872
Blautia sp003471165,2213
RUG115 sp900066395,1981
Oliverpabstia intestinalis,1835
Sellimonas intestinalis,2319
Coprococcus eutactus,1966
Coprococcus sp900066115,1858
Eisenbergiella tayi,3966
Lachnospira eligens_A,1957
Roseburia intestinalis,2333
Blautia faecis,2207
Dorea longicatena_B,1710
Anaerobutyricum hallii,2014
Agathobacter faecis,2007
Mediterraneibacter torques,1871
Acetatifactor sp900066565,2250
Roseburia inulinivorans,2002
Schaedlerella sp900066545,1692
Blautia sp900066335,2364
Hungatella effluvii,3975
Choladocola sp003480725,1958
Hominisplanchenecus faecis,1893
Anaerostipes caccae,2572
Copromonas sp900066785,1856
Blautia intestinalis,2297
Faecalimonas phoceensis,1885
